Rank,Summoner,Tier,LP,Most Champ,Wins,Losses,Win Ratio
1458,TheLostOne9#NA1,diamond 1,40,"['Pyke', 'Zilean', 'Twitch']",36,43,46
1459,Erick Dota#Erick,diamond 1,40,"['Zoe', 'Gwen', 'Hwei']",33,31,52
1460,Dicey#DiceK,diamond 1,40,"['Karma', 'Nautilus', 'Nami']",18,12,60
1461,Tyler Brisco#Tyler,diamond 1,40,"['Renekton', 'KSante', 'Nautilus']",27,23,54
1462,Taubenzeit#Bird,diamond 1,40,"['Vi', 'XinZhao', 'JarvanIV']",17,7,71
1463,jon#duke,diamond 1,40,"['Vex', 'Lux', 'Neeko']",30,22,58
1464,Chynx#NA1,diamond 1,40,['Chogath'],44,47,48
1465,juiz de fora#MG1,diamond 1,40,"['Quinn', 'Pantheon']",17,8,68
1466,I AM SAMA#2003,diamond 1,40,"['Jax', 'Darius', 'Olaf']",25,29,46
1467,ezgamexd#42069,diamond 1,40,"['Sett', 'KSante', 'Gnar']",27,21,56
1468,Muffinhawker#peps,diamond 1,40,"['Zeri', 'Lillia', 'Camille']",32,24,57
1469,Wíllíams#NA1,diamond 1,40,"['AurelionSol', 'Xerath', 'Alistar']",20,12,63
1470,Doxa#BTC,diamond 1,39,"['Milio', 'Thresh', 'Alistar']",18,14,56
1471,Kenikaze#0000,diamond 1,39,"['Rakan', 'Thresh', 'Ashe']",44,40,52
1472,arbrio#NA1,diamond 1,39,"['Camille', 'Graves', 'Hwei']",33,30,52
1473,Leeeroy Jenkins#1434,diamond 1,39,[],23,18,56
1474,Pumpylina#PUMP,diamond 1,39,"['Zyra', 'Senna', 'Rumble']",21,13,62
1475,Abyssions#NA1,diamond 1,39,"['Chogath', 'Singed', 'Teemo']",25,21,54
1476,Heal Me#2306,diamond 1,39,"['Soraka', 'Garen', 'Zilean']",34,32,52
1477,egirl dps#NA1,diamond 1,39,"['Diana', 'Malphite', 'MissFortune']",23,16,59
1478,Philima11#5617,diamond 1,39,"['Senna', 'Bard', 'Blitzcrank']",32,15,68
1479,xKery#NA1,diamond 1,38,"['Bard', 'Maokai', 'Trundle']",23,16,59
1480,reAnchored#NA1,diamond 1,38,"['Azir', 'Varus', 'Hwei']",34,31,52
1481,Angel#Ash69,diamond 1,38,"['Seraphine', 'Janna', 'Hwei']",33,25,57
1482,The Pubarizer03#NA1,diamond 1,38,"['Talon', 'Syndra', 'Zac']",20,10,67
1483,Wings#Frost,diamond 1,38,"['Pantheon', 'Mordekaiser', 'Aatrox']",20,12,63
1484,Samikin#uwu,diamond 1,38,"['Zoe', 'Hwei', 'Jhin']",14,7,67
1485,Teekokee#Teeko,diamond 1,38,"['Singed', 'Chogath', 'Xerath']",16,8,67
1486,BAESURI#wes,diamond 1,38,"['Sona', 'Senna', 'Kassadin']",66,67,50
1487,yaubncqdie#2072,diamond 1,38,"['Kassadin', 'Talon', 'Leblanc']",42,42,50
1488,Zetta Slow#Sho,diamond 1,38,"['Janna', 'Rakan', 'Senna']",36,30,55
1489,WANGZAI QQT#NA1,diamond 1,38,"['Aatrox', 'Mordekaiser', 'Renekton']",21,15,58
1490,PenguSadgi#na2,diamond 1,38,"['Jax', 'Aatrox', 'Jayce']",25,19,57
1491,YCdoit#NA1,diamond 1,38,"['Olaf', 'Ornn', 'Mordekaiser']",22,14,61
1492,DatBoyBrando#NA1,diamond 1,38,"['Kayn', 'XinZhao', 'Belveth']",28,23,55
1493,Gojo#DDDD,diamond 1,38,"['Kayn', 'Ekko', 'Evelynn']",39,33,54
1494,花舞剑#NA12,diamond 1,38,"['Renekton', 'Jax', 'Pantheon']",34,35,49
1495,NATO3001#3001,diamond 1,38,"['Kalista', 'Jhin', 'Ezreal']",25,19,57
1496,Spy#Apex,diamond 1,37,"['Pyke', 'Rell', 'Nautilus']",24,20,55
1497,vondo#ACE,diamond 1,37,"['Bard', 'Pyke', 'Swain']",23,19,55
1498,A Thong#athnq,diamond 1,37,"['Syndra', 'Xerath', 'Galio']",16,9,64
1499,Vøltage#NA1,diamond 1,37,"['Ekko', 'Hwei', 'Leblanc']",28,23,55
1500,Tinbo#GGWP,diamond 1,37,"['Zilean', 'Morgana', 'Nami']",47,37,56
1501,T1 Gumayusi#NA0,diamond 1,37,"['Fizz', 'Fiora', 'Lissandra']",14,3,82
1502,Diamond#lmao,diamond 1,37,"['Ashe', 'Senna', 'Pyke']",17,12,59
1503,emPscuddlebuddy#SWE,diamond 1,37,"['JarvanIV', 'Belveth', 'LeeSin']",34,32,52
1504,Ash Maverick#00001,diamond 1,37,"['Ezreal', 'Ekko', 'XinZhao']",67,72,48
1505,i try 2 hard#chill,diamond 1,37,"['Kayn', 'Brand', 'Evelynn']",46,39,54
1506,shine forever#NA1,diamond 1,37,"['Nautilus', 'Rakan', 'Renata']",16,10,62
1507,胜天半子#0612,diamond 1,37,"['Samira', 'MissFortune', 'Sivir']",34,26,57
1508,NEVER A PR0MISE#R3APR,diamond 1,36,"['Draven', 'Karthus', 'Samira']",45,37,55
1509,Mangoless#NA1,diamond 1,36,"['Ekko', 'Syndra', 'Leblanc']",20,11,65
1510,3uphoria#0622,diamond 1,36,"['Bard', 'Senna', 'Blitzcrank']",20,19,51
1511,DragonJousting#NA1,diamond 1,36,"['Varus', 'Lucian', 'Ashe']",34,34,50
1512,EvanBurrito#NA1,diamond 1,36,"['Yuumi', 'Lux', 'Talon']",13,3,81
1513,上单王#冯家亮,diamond 1,36,"['Vayne', 'Yone', 'Rumble']",16,7,70
1514,Dante#Asuna,diamond 1,36,"['Warwick', 'Aatrox', 'Yasuo']",31,26,54
1515,MAZINO#0010,diamond 1,35,"['Pantheon', 'XinZhao', 'Jax']",28,29,49
1516,Kiyanavi#NA1,diamond 1,35,"['Annie', 'TwistedFate', 'Galio']",20,13,61
1517,SK54#NA1,diamond 1,35,"['Mordekaiser', 'Kled', 'Aatrox']",33,26,56
1518,Qian#1106,diamond 1,35,"['Fiora', 'Twitch', 'Gwen']",53,49,52
1519,Darksune#NA1,diamond 1,35,"['Ezreal', 'Senna', 'Caitlyn']",34,35,49
1520,Sui Feng Piao#NA1,diamond 1,35,"['Darius', 'Jax', 'Aatrox']",43,40,52
1521,Palafoxy#CHOMP,diamond 1,35,"['Leblanc', 'Hwei', 'Teemo']",20,15,57
1522,Llutonit#NA1,diamond 1,35,"['Aphelios', 'Varus', 'Jhin']",53,42,56
1523,many bats#NA1,diamond 1,35,"['Bard', 'Thresh', 'Janna']",20,15,57
1524,Weakside Wes#NA1,diamond 1,35,"['Lissandra', 'Leona', 'Morgana']",27,19,59
1525,Drag#NA2,diamond 1,35,"['Seraphine', 'Ezreal', 'Ahri']",30,21,59
1526,isoLyM#iso,diamond 1,35,"['Caitlyn', 'Samira', 'Jhin']",33,22,60
1527,GrayRhino#NA1,diamond 1,35,"['Lucian', 'Syndra', 'Kaisa']",41,50,45
1528,Inferno#13022,diamond 1,35,"['Gragas', 'Neeko', 'Orianna']",19,13,59
1529,I AM ND#777,diamond 1,34,"['Twitch', 'Jinx']",21,11,66
1530,im18#Sewey,diamond 1,34,"['Katarina', 'Vayne', 'Annie']",31,25,55
1531,HolyCarrot#000,diamond 1,34,"['Leblanc', 'Vi', 'TahmKench']",40,47,46
1532,HDAMFN#1987,diamond 1,34,"['Riven', 'Ornn', 'Malphite']",28,31,47
1533,theburningtank#Ecchi,diamond 1,34,"['Gangplank', 'Pantheon', 'Malphite']",32,31,51
1534,pcgsmackk#0001,diamond 1,34,"['Graves', 'Poppy', 'Taliyah']",26,21,55
1535,Nani#6866,diamond 1,34,"['XinZhao', 'Zac', 'Graves']",27,23,54
1536,Avano#Usurp,diamond 1,34,"['Vladimir', 'Naafiri', 'Kayle']",17,8,68
1537,Kolthro#NA1,diamond 1,34,"['Graves', 'LeeSin', 'XinZhao']",42,38,53
1538,Curas#xdd,diamond 1,34,"['Kaisa', 'Ashe', 'Zeri']",21,20,51
1539,Spychala#NA1,diamond 1,34,"['Caitlyn', 'Brand', 'Pantheon']",56,55,50
1540,I Am Nightshade#NA1,diamond 1,34,"['Naafiri', 'Lux', 'Sylas']",24,23,51
1541,040#NA1,diamond 1,34,"['Karma', 'Aatrox', 'KSante']",23,20,53
1542,RHKSHD#NA1,diamond 1,34,"['Akshan', 'Riven', 'LeeSin']",27,21,56
1543,Tragedy#adc1,diamond 1,34,"['Jhin', 'Lucian', 'Riven']",42,37,53
1544,gomtang#꼬리곰탕,diamond 1,34,"['Sivir', 'Xayah', 'Ahri']",22,16,58
1545,AnitaMsW#NA1,diamond 1,34,['Zilean'],29,13,69
1546,SIayer Supreme#2003,diamond 1,34,"['XinZhao', 'Ekko', 'Graves']",17,11,61
1547,Biyakuuuu#NA1,diamond 1,34,"['Kled', 'Nautilus', 'Sion']",36,27,57
1548,Capt1an Peace #NA1,diamond 1,34,"['Thresh', 'Blitzcrank', 'Senna']",36,30,55
1549,Lobby1012345#NA1,diamond 1,33,"['Lucian', 'Syndra', 'Jhin']",20,15,57
1550,SW4P#NA1,diamond 1,33,"['Draven', 'Twitch', 'Kaisa']",21,20,51
1551,PJer#NA1,diamond 1,33,"['Bard', 'Thresh', 'Nautilus']",23,18,56
1552,make u say woah#NA1,diamond 1,33,"['Singed', 'Lucian', 'Seraphine']",42,38,53
1553,DragonHalos#Milo,diamond 1,33,"['Milio', 'Nami', 'Brand']",24,22,52
1554,Prince#2022,diamond 1,33,"['Kindred', 'XinZhao', 'Graves']",31,34,48
1555,Ractick#NA1,diamond 1,33,"['Kayn', 'Viego', 'Belveth']",34,26,57
1556,Angelomaniac#012,diamond 1,32,"['Fizz', 'Kassadin', 'Ornn']",40,42,49
1557,Karan#1  ,diamond 1,32,"['Yasuo', 'Yone', 'Zed']",25,18,58
1558,Cotogod#NA1,diamond 1,32,"['Jayce', 'Azir', 'Orianna']",24,25,49
1559,step1v9#NA2,diamond 1,32,"['Tryndamere', 'Singed', 'Malphite']",33,31,52
1560,Dinner#NA1,diamond 1,32,"['XinZhao', 'Rengar', 'Khazix']",30,26,54
1561,vincent#000,diamond 1,32,"['Varus', 'Caitlyn', 'Zeri']",25,18,58
1562,bluedrank#blue,diamond 1,32,"['Maokai', 'Alistar', 'Zyra']",33,33,50
1563,Iván#NA1,diamond 1,32,"['Vladimir', 'Malzahar', 'Malphite']",41,35,54
1564,viper69#NA1,diamond 1,32,"['MissFortune', 'Samira', 'Kaisa']",48,42,53
1565,Sourke#1111,diamond 1,32,"['Rammus', 'Evelynn', 'Amumu']",54,53,50
1566,PCL#NA1,diamond 1,32,"['Fiora', 'Renekton', 'KSante']",15,8,65
1567,Teddy Veletta#0007,diamond 1,32,"['Zed', 'Yasuo', 'Vladimir']",18,9,67
1568,drop ur ëgo#NA1,diamond 1,31,"['Hecarim', 'LeeSin', 'Graves']",21,18,54
1569,Articana#Cana,diamond 1,31,"['Sylas', 'Zed', 'Aatrox']",23,12,66
1570,Beelzebu#DDZ,diamond 1,31,"['Jayce', 'Orianna', 'Taliyah']",20,12,63
1571,CryHav0c#NA1,diamond 1,31,"['Lulu', 'Milio', 'Nami']",16,8,67
1572,BE Hunter#NA1,diamond 1,31,"['Briar', 'Amumu', 'XinZhao']",23,18,56
1573,Blood Sorcery#NA1,diamond 1,31,"['Vladimir', 'Brand', 'Viktor']",20,14,59
1574,Cupic#Sera,diamond 1,31,"['Lux', 'Hwei', 'Zoe']",16,10,62
1575,i hate my dad#4383,diamond 1,30,"['Taliyah', 'Lillia', 'Karthus']",20,15,57
1576,DPS Support#NA1,diamond 1,30,"['Xerath', 'Seraphine', 'Teemo']",56,51,52
1577,htag#diff,diamond 1,30,"['Azir', 'Yone', 'Viktor']",37,44,46
1578,laiier#1997,diamond 1,30,"['Kalista', 'Ezreal', 'Lux']",24,22,52
1579,ray#bob,diamond 1,30,"['Jhin', 'Jayce', 'Sivir']",22,9,71
1580,4 Stars#qwer,diamond 1,30,"['Rumble', 'XinZhao', 'Diana']",20,16,56
1581,Feartherightarm#NA1,diamond 1,30,"['Tryndamere', 'Nasus', 'Malphite']",58,56,51
1582,Frenoredio#NA1,diamond 1,30,"['Jax', 'Aatrox', 'Fiora']",51,38,57
1583,niïck#NA1,diamond 1,30,"['Lucian', 'Varus', 'Caitlyn']",43,47,48
1584,jiba#bbc,diamond 1,30,"['Fiora', 'Darius', 'Renekton']",22,16,58
1585,Enen#NA123,diamond 1,30,"['Lucian', 'Varus', 'Jhin']",18,12,60
1586,Hoán Văn#Kijin,diamond 1,30,"['Neeko', 'Lux', 'Vex']",15,5,75
1587,Read Your Mind#8165,diamond 1,29,"['TwistedFate', 'Jax', 'Aatrox']",50,57,47
1588,RascallyR#NA1,diamond 1,29,"['Mordekaiser', 'Zilean', 'Brand']",19,14,58
1589,unicornsupport12#NA1,diamond 1,29,"['Aphelios', 'Jinx', 'Caitlyn']",22,17,56
1590,Parchas#NA1,diamond 1,29,"['Twitch', 'Draven', 'Viktor']",32,29,52
1591,Kobymao#NA1,diamond 1,29,"['Xayah', 'Kaisa', 'Gragas']",26,16,62
1592,Gatekeep Ceo#NA1,diamond 1,29,"['Graves', 'Nautilus', 'Kindred']",39,33,54
1593,Kazi#1999,diamond 1,29,"['Gwen', 'Aatrox', 'KSante']",39,34,53
1594,ImBadYoureAwful#0000,diamond 1,29,"['Mordekaiser', 'Poppy', 'Jax']",24,15,62
1595,Mento Iwness#NA1,diamond 1,28,"['Orianna', 'Azir', 'Kalista']",19,12,61
1596,Xuuka#5120,diamond 1,28,"['Nautilus', 'Rakan', 'Milio']",15,9,63
1597,ck286#pris,diamond 1,28,"['Azir', 'Swain', 'Akali']",40,50,44
1598,Blui#NA1,diamond 1,28,"['MonkeyKing', 'Lillia', 'Taliyah']",20,16,56
1599,Mike#MOB,diamond 1,28,"['LeeSin', 'Nocturne', 'Shyvana']",34,29,54
1600,Navigation#NA9,diamond 1,28,"['Lucian', 'Varus', 'Caitlyn']",40,34,54
1601,Compskey#NA1,diamond 1,28,"['Talon', 'Cassiopeia', 'Gragas']",35,19,65
1602,Sword#Heize,diamond 1,28,"['Akali', 'Sylas', 'Ahri']",13,5,72
1603,Jackoo#NA1,diamond 1,28,"['Khazix', 'Fizz', 'Samira']",20,11,65
1604,bobby shmurda#7777,diamond 1,28,"['Kennen', 'TwistedFate', 'Viktor']",28,28,50
1605,Yüksekçi#NA1,diamond 1,28,"['Pyke', 'Nautilus', 'Senna']",21,19,53
1606,Garrett Meyerson#NA1,diamond 1,28,"['Bard', 'Thresh', 'Renata']",19,10,66
1607,MXT#NA1,diamond 1,28,"['Aatrox', 'Sett', 'Darius']",18,14,56
1608,pikmin player#Gay,diamond 1,28,"['Hwei', 'Vayne', 'Lux']",21,21,50
1609,Sourpatchkids#NA1,diamond 1,27,"['Rengar', 'Morgana', 'Ivern']",47,37,56
1610,Becky Destroyer#NA21,diamond 1,27,"['Jayce', 'Malzahar', 'Tristana']",30,26,54
1611,Thrall washacked#NA1,diamond 1,27,"['Katarina', 'Yasuo']",20,15,57
1612,DRIPHAMMY#BEAN,diamond 1,27,"['Jhin', 'Senna', 'Caitlyn']",32,28,53
1613,ghelb#NA1,diamond 1,27,"['Jhin', 'Kalista', 'Sona']",41,28,59
1614,DirtyMobs#Mobs,diamond 1,27,"['Illaoi', 'Yorick', 'Janna']",29,24,55
1615,Campo#Xz8,diamond 1,27,"['Thresh', 'Rakan', 'Nautilus']",18,11,62
1616,Hochelaga#NA1,diamond 1,27,[],26,24,52
1617,Double Distort#NA1,diamond 1,27,[],21,12,64
1618,Moyneau#NA1,diamond 1,27,"['Xerath', 'Aatrox', 'Alistar']",37,24,61
1619,SaskAtCree1#RxG,diamond 1,27,['Anivia'],20,9,69
1620,Sad but Happy#NA1,diamond 1,27,"['Darius', 'Trundle']",20,12,63
1621,lime#o3o,diamond 1,27,"['Rengar', 'Khazix', 'Kindred']",13,6,68
1622,l34f#NA1,diamond 1,27,"['Azir', 'Yone', 'Tristana']",21,11,66
1623,kay#ate,diamond 1,27,"['Sona', 'Soraka', 'Ahri']",42,39,52
1624,El Siegfred#NA1,diamond 1,27,['Tryndamere'],54,40,57
1625,ed8r#meow,diamond 1,27,"['Zeri', 'Akshan', 'Ashe']",30,25,55
1626,S YANG#NA1,diamond 1,26,"['Galio', 'Talon', 'Diana']",21,17,55
1627,nifty jg#NA1,diamond 1,26,"['LeeSin', 'XinZhao', 'Viego']",26,24,52
1628,Zarfot#8385,diamond 1,26,"['Tryndamere', 'Fiora', 'Jax']",17,14,55
1629,bayonetta#rose,diamond 1,26,"['Sona', 'MissFortune', 'Senna']",24,24,50
1630,D9 TEEN#NA1,diamond 1,26,"['Nautilus', 'Rell', 'Gragas']",20,11,65
1631,DeductedCarlos#NA1,diamond 1,26,"['Rakan', 'Nautilus', 'Milio']",15,9,63
1632,DeadlyTwitches#BayB,diamond 1,26,"['Jhin', 'Lucian', 'Varus']",16,12,57
1633,Niikaido#NA1,diamond 1,26,"['Sona', 'Zilean']",19,17,53
1634,DaPointGuard#SIGMA,diamond 1,26,"['Aatrox', 'Mordekaiser', 'Jayce']",27,25,52
1635,Kazama#2077,diamond 1,26,"['MissFortune', 'Jinx', 'Caitlyn']",45,36,56
1636,Repfix#NA1,diamond 1,26,"['Jhin', 'Kalista', 'Kaisa']",22,16,58
1637,Dog Goes Bonk#NA1,diamond 1,26,"['Garen', 'Nasus', 'Teemo']",26,25,51
1638,A oreo A#NA1,diamond 1,26,"['Ekko', 'Talon', 'Fiddlesticks']",14,4,78
1639,xSantaBearx#NA1,diamond 1,26,"['Yasuo', 'Yone', 'Viego']",28,18,61
1640,asake#asake,diamond 1,26,"['Lillia', 'Hecarim', 'Lux']",28,21,57
1641,Taissight#NA1,diamond 1,26,"['Viego', 'Lillia', 'XinZhao']",19,11,63
1642,little girl#999,diamond 1,26,"['Lulu', 'Kaisa', 'Ashe']",22,17,56
1643,Soul#Xyrem,diamond 1,26,"['Rengar', 'LeeSin', 'Lillia']",33,31,52
1644,Shiroi Okami#0010,diamond 1,26,"['Aatrox', 'Ornn', 'Kayn']",34,29,54
1645,Magoon#001,diamond 1,26,"['Draven', 'Vayne', 'Lucian']",44,36,55
1646,emocheng#NA2,diamond 1,26,"['Akali', 'Ryze', 'Syndra']",27,23,54
1647,333 Matias#NA1,diamond 1,25,"['Aphelios', 'Lucian', 'Kalista']",24,23,51
1648,TITANS IE HOJ#BRAZY,diamond 1,25,"['Leblanc', 'Akali', 'Viktor']",27,21,56
1649,おやすみせかい#消えろ,diamond 1,25,"['Xayah', 'Lucian', 'Aphelios']",35,42,45
1650,Papa Teddy#NA1,diamond 1,25,"['Lucian', 'Ashe', 'Kaisa']",37,33,53
1651,kerias bf#keria,diamond 1,25,"['Bard', 'Seraphine', 'Sona']",41,40,51
1652,Trust My Healing#NA1,diamond 1,25,"['Lux', 'Soraka', 'Renata']",18,11,62
1653,Kairuu#kyle,diamond 1,25,"['Nunu', 'Jax', 'Zac']",22,22,50
1654,Paosdu12q#NA1,diamond 1,25,"['Trundle', 'Olaf', 'Kennen']",39,12,76
1655,llamast3#NA1,diamond 1,25,['Shen'],27,32,46
1656,The Grind#Ruler,diamond 1,25,"['Samira', 'Blitzcrank', 'Milio']",43,34,56
1657,Saru#Saryu,diamond 1,25,"['Aatrox', 'Yone', 'Gwen']",29,16,64
1658,akuma#mm1,diamond 1,25,"['Graves', 'LeeSin', 'Jax']",20,13,61
1659,Maykel#NA1,diamond 1,25,"['Varus', 'Aphelios', 'Zeri']",17,13,57
1660,TwoSyked#eeee,diamond 1,25,"['Nocturne', 'Graves', 'Ekko']",24,21,53
1661,sweeho#999,diamond 1,25,"['Hwei', 'Akali', 'Irelia']",18,11,62
1662,心无杂念#1004,diamond 1,25,"['Viego', 'Ekko']",20,12,63
1663,Twtv BeeAyO#002,diamond 1,25,"['Yasuo', 'Xerath', 'MasterYi']",26,17,60
1664,赤夜萌香#waifu,diamond 1,25,"['LeeSin', 'Senna', 'Viego']",16,6,73
1665,Hedy7Lamarr#NA1,diamond 1,25,['Udyr'],24,20,55
1666,我的心好冷#0606,diamond 1,25,"['Pantheon', 'Nami', 'Neeko']",22,18,55
1667,JIUZHESHUIPING#5438,diamond 1,24,"['Rell', 'Nautilus', 'Karma']",16,7,70
1668,speedy mcjingles#steb,diamond 1,24,"['Vex', 'Xerath', 'Lux']",39,21,65
1669,Perma Bulker#DEMON,diamond 1,24,"['Blitzcrank', 'Malphite', 'Alistar']",19,14,58
1670,Iuap#NA1,diamond 1,24,"['Yasuo', 'Zed', 'Akali']",25,27,48
1671,吳彥祖#888,diamond 1,24,"['Jax', 'Tryndamere', 'Mordekaiser']",24,23,51
1672,Rizq#RIZQ,diamond 1,24,"['Bard', 'JarvanIV']",26,17,60
1673,rkolde#NA1,diamond 1,24,"['Bard', 'Thresh', 'Brand']",24,16,60
1674,YYC ADC#NA1,diamond 1,24,"['Caitlyn', 'Aphelios', 'Kaisa']",20,15,57
1675,Echidna#BALLS,diamond 1,24,"['Corki', 'Cassiopeia', 'Naafiri']",17,10,63
1676,YasuoplayerNoMM#NA1,diamond 1,24,"['LeeSin', 'Graves', 'Fizz']",17,12,59
1677,forfunnotiltpls#heyyy,diamond 1,24,"['Rengar', 'Graves', 'Rumble']",19,14,58
1678,llaLava#LLA,diamond 1,24,"['Leblanc', 'Hwei', 'Akali']",22,18,55
1679,歪比巴卜#glac,diamond 1,24,"['Anivia', 'Syndra', 'Viktor']",20,16,56
1680,No Fancy#NA1,diamond 1,24,"['Lucian', 'Bard', 'Samira']",23,18,56
1681,阿修羅#333,diamond 1,24,"['Jayce', 'Malphite', 'Jax']",45,44,51
1682,SUPERANANAN#6227,diamond 1,24,"['Nilah', 'Samira', 'Draven']",22,16,58
1683,FLAGGED 28420339#BABA,diamond 1,24,"['Swain', 'Jayce', 'Gnar']",30,27,53
1684,Silver#32602,diamond 1,24,"['Senna', 'Milio', 'Renata']",20,18,53
1685,balli7#NA1,diamond 1,24,"['Rell', 'Senna', 'Braum']",21,14,60
1686,清冷关系#1122,diamond 1,24,"['Syndra', 'Ekko', 'Taliyah']",24,20,55
1687,PhyMini#NA1,diamond 1,23,"['Orianna', 'Yone', 'Hwei']",22,20,52
1688,Tzuyu Sana#NA1,diamond 1,23,"['Akshan', 'Leblanc', 'Quinn']",22,13,63
1689,Kleptomancy#NA1,diamond 1,23,"['Viego', 'KSante', 'Trundle']",32,33,49
1690,Rango is broken#NA1,diamond 1,23,"['Hwei', 'Jhin']",14,2,88
1691,bsavvage#NA2,diamond 1,23,"['Kled', 'Aatrox']",37,36,51
1692,Pengu#champ,diamond 1,23,"['Seraphine', 'Jhin', 'Lucian']",39,39,50
1693,aadurrr#NA1,diamond 1,23,"['Lucian', 'Seraphine', 'Hwei']",24,25,49
1694,Old Primitive#1337,diamond 1,23,"['Galio', 'Blitzcrank', 'Renata']",20,16,56
1695,Aeon Crystal#Tipsy,diamond 1,23,"['Rengar', 'Graves', 'XinZhao']",26,32,45
1696,2teams10piggies#LOL,diamond 1,23,['Irelia'],29,24,55
1697,shaarzard#NA1,diamond 1,23,"['Kled', 'TahmKench', 'Olaf']",23,15,61
1698,LeSquidliestOne#NA1,diamond 1,23,"['Velkoz', 'Pantheon', 'MissFortune']",21,15,58
1699,lolgod69x#NA1,diamond 1,23,"['Katarina', 'Bard', 'Sion']",24,21,53
1700,Soulrend#NA1,diamond 1,23,"['Neeko', 'Sejuani', 'Sylas']",50,38,57
1701,Worst Teemo NA#NA1,diamond 1,23,['Teemo'],26,22,54
1702,Darko#0001,diamond 1,23,"['Draven', 'MissFortune', 'Senna']",40,38,51
1703,Blitzology#101,diamond 1,23,"['Blitzcrank', 'Nautilus', 'Senna']",23,20,53
1704,어라랍스타#이다룽,diamond 1,23,"['Aatrox', 'KSante', 'Jax']",16,5,76
1705,Ronio#NA1,diamond 1,23,"['MonkeyKing', 'Draven', 'Riven']",24,21,53
1706,Alex55137#NA1,diamond 1,23,"['Ornn', 'Poppy', 'Sion']",15,4,79
1707,tzp#ck123,diamond 1,23,"['Sylas', 'Rumble', 'Pantheon']",21,14,60
1708,Elderwood#Exil,diamond 1,23,"['Hwei', 'Lucian', 'Ahri']",30,28,52
1709,Mister Wubz#8688,diamond 1,23,"['Caitlyn', 'Jhin', 'Ezreal']",22,19,54
1710,forever#cat,diamond 1,23,"['Kaisa', 'Senna', 'Varus']",34,38,47
1711,gachas#NA1,diamond 1,23,"['Fizz', 'Jhin', 'Sylas']",24,21,53
1712,JimmyTheJuicer27#NA1,diamond 1,23,"['Kassadin', 'Rumble', 'Sylas']",38,34,53
1713,top idol#FFF,diamond 1,23,"['Fiora', 'Yone', 'Gwen']",42,34,55
1714,scout#333,diamond 1,23,"['Graves', 'Udyr', 'Khazix']",17,12,59
1715,바나나#God,diamond 1,23,"['Ekko', 'Kindred', 'Khazix']",47,45,51
1716,Nostalgia Lee#NA1,diamond 1,23,"['Rell', 'Milio', 'Nautilus']",24,25,49
1717,kaza213#2618,diamond 1,23,"['Akshan', 'Galio', 'Aatrox']",28,21,57
1718,Weaver#Fool,diamond 1,23,"['Belveth', 'XinZhao', 'Graves']",20,13,61
1719,AndresTexas#NA1,diamond 1,23,"['Xerath', 'Milio']",20,17,54
1720,Frankie#299,diamond 1,23,"['Pyke', 'Shaco', 'Karma']",54,41,57
1721,Edegen#1057,diamond 1,22,"['Fiddlesticks', 'Kindred', 'Viego']",21,18,54
1722,Uykzos#4444,diamond 1,22,"['Akali', 'Seraphine', 'Hwei']",17,11,61
1723,Graggy God#NA1,diamond 1,22,"['Gragas', 'Neeko', 'Ornn']",25,17,60
1724,Recharged#NA1,diamond 1,22,"['Twitch', 'Seraphine', 'Jhin']",30,13,70
1725,ZacsterGlobster#Glob,diamond 1,22,['Zac'],18,12,60
1726,小楼一夜听春雨#爱7鑫,diamond 1,22,"['Kassadin', 'Ekko', 'Vladimir']",52,20,72
1727,Pogacar#NA1,diamond 1,22,"['Jhin', 'Hwei', 'Lucian']",30,30,50
1728,Retims#Ender,diamond 1,22,"['Mordekaiser', 'Aatrox', 'Varus']",16,9,64
1729,暗魔阴帝#123,diamond 1,22,"['Karthus', 'Kindred', 'Elise']",26,26,50
1730,Meng#002,diamond 1,22,"['MasterYi', 'Graves', 'Nocturne']",17,7,71
1731,Simiy15#NA1,diamond 1,22,"['Alistar', 'Rell', 'Ashe']",19,15,56
1732,eric#604,diamond 1,22,"['Vladimir', 'Orianna', 'Syndra']",16,6,73
1733,High Off Shimmer#NA1,diamond 1,22,"['Pyke', 'Milio', 'Sona']",25,21,54
1734,SageWabe#Sage,diamond 1,22,"['Lucian', 'Caitlyn', 'Jhin']",22,19,54
1735,Yilo#NA1,diamond 1,22,"['Vayne', 'Veigar', 'Vladimir']",32,35,48
1736,Tim Long#NA1,diamond 1,22,"['Zoe', 'Chogath', 'Xerath']",16,8,67
1737,RiotKingCobra#777,diamond 1,22,"['Cassiopeia', 'AurelionSol', 'Hwei']",29,28,51
1738,Attrition#Jake,diamond 1,22,"['Rakan', 'Leona']",17,4,81
1739,C9C9C9C9C9#NA1,diamond 1,22,"['Azir', 'Aatrox', 'Yone']",15,11,58
1740,Spiff#NUNU,diamond 1,22,['Nunu'],39,40,49
1741,Unranked2LCS#NA1,diamond 1,22,"['Caitlyn', 'Jhin', 'Ashe']",20,15,57
1742,Ego#1048,diamond 1,22,"['Aatrox', 'KSante', 'Gangplank']",22,18,55
1743,MeanMedianMode#NA1,diamond 1,22,"['Taliyah', 'Pantheon', 'Jax']",30,24,56
1744,Hatsune Sett#NA1,diamond 1,22,"['Neeko', 'Tristana']",19,11,63
1745,Rhyú#NA1,diamond 1,22,"['Twitch', 'Soraka', 'Amumu']",24,19,56
